Customer_ID,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeat,NumWebPurchases,NumStorePurchases,Response
1,57,54808,1,0,36,340,430,88,16,2,0
2,63,85728,0,0,47,883,320,550,18,5,0
3,55,32118,1,0,72,785,325,448,16,15,1
4,27,90522,1,0,69,117,361,480,16,16,1
5,48,53798,2,1,20,264,255,120,15,2,1
6,46,74371,2,0,68,303,325,410,6,11,0
7,27,88060,0,0,49,1,238,36,2,16,0
8,61,75234,0,1,94,272,213,511,10,15,0
9,42,53207,0,0,84,941,142,383,17,17,0
10,30,94475,2,1,45,427,201,828,7,10,0
11,42,30679,1,1,34,657,445,418,16,11,1
12,41,59282,0,0,67,302,26,214,11,0,0
13,52,24582,0,1,21,144,236,262,15,12,1
14,26,39375,1,1,43,38,95,189,18,11,0
15,19,61077,1,1,25,492,389,39,9,1,1
16,48,49668,2,0,80,915,304,388,1,18,1
17,32,82600,0,1,73,113,400,681,0,19,0
18,27,21330,0,1,32,351,467,78,18,0,0
19,58,89963,1,1,13,238,280,925,5,15,1
20,18,37672,0,1,29,660,365,314,15,11,0
21,42,61643,2,0,71,327,155,373,6,5,0
22,61,94779,2,0,98,159,153,364,14,13,1
23,31,49258,0,1,85,152,65,958,4,13,0
24,67,55929,0,1,48,769,54,51,6,16,0
25,59,93675,0,1,5,961,143,821,14,3,1
26,18,90831,1,1,23,442,98,181,9,19,1
27,19,35496,0,1,20,857,188,460,6,13,0
28,31,28430,1,0,13,403,146,988,19,6,0
29,53,46624,1,0,10,994,3,744,2,3,1
30,47,44439,2,0,83,294,81,886,1,0,1
31,36,25823,2,0,44,923,75,753,18,0,1
32,58,65281,2,0,91,737,288,501,8,0,1
33,64,76239,0,1,84,939,174,74,4,8,0
34,27,40030,0,0,8,760,320,908,18,14,1
35,19,57623,1,0,45,319,69,529,13,0,1
36,38,45180,2,1,30,79,447,246,2,12,0
37,66,98388,0,0,72,996,155,514,0,4,1
38,66,43671,0,1,15,710,10,613,1,9,0
39,38,96671,0,1,35,697,20,802,12,1,1
40,58,32090,2,0,2,548,50,979,16,6,0
41,49,20095,0,0,19,619,274,792,12,17,1
42,24,42152,2,0,44,295,36,570,0,8,1
43,24,27525,2,1,24,565,116,180,8,18,0
44,18,44808,0,0,63,42,117,461,0,1,1
45,40,20561,2,0,59,454,273,498,0,11,1
46,51,61551,2,1,6,605,298,20,0,10,0
47,43,80706,2,0,73,432,288,184,18,1,1
48,22,58529,1,1,5,828,97,536,4,14,0
49,34,30180,2,0,46,222,124,655,18,5,1
50,66,30940,2,1,14,806,288,835,13,9,1
51,40,37539,0,1,60,645,124,852,17,2,0
52,45,70268,0,1,46,80,92,398,14,7,1
53,54,67555,0,0,80,907,39,662,14,5,1
54,29,75484,1,0,86,502,3,934,16,5,0
55,33,86981,1,1,22,804,386,719,13,0,1
56,28,50377,2,1,45,670,353,84,2,19,1
57,34,72594,2,0,40,912,116,860,5,7,0
58,22,55497,0,1,67,939,158,816,8,15,0
59,36,37419,0,1,38,625,85,134,13,1,1
60,48,48846,2,0,52,316,33,544,5,12,1
61,28,43972,1,1,3,879,494,247,15,19,0
62,43,88680,2,1,86,132,385,152,14,0,1
63,66,77997,1,0,10,66,92,472,14,15,1
64,68,30516,1,0,17,602,393,480,3,16,1
65,44,25147,2,0,49,855,54,457,9,5,0
66,44,93265,2,1,84,411,449,745,0,5,1
67,34,86237,2,0,35,675,2,475,19,11,0
68,45,62713,1,1,15,679,281,211,15,16,1
69,23,28452,2,0,48,559,47,906,3,13,1
70,67,52187,0,0,88,267,332,262,2,11,1
71,40,51629,2,1,41,179,435,765,9,11,1
72,34,28045,0,0,84,606,9,940,6,5,1
73,29,40675,1,0,84,819,324,70,6,13,1
74,22,68680,1,0,3,64,433,821,1,11,1
75,27,39646,1,0,31,33,274,722,17,14,0
76,26,82830,2,1,10,598,499,332,7,16,1
77,58,60912,0,0,55,123,132,913,6,19,1
78,62,61760,1,0,63,520,181,134,13,9,1
79,44,33389,2,0,19,828,44,854,17,8,1
80,33,44081,2,1,76,581,87,375,5,3,1
81,19,55583,2,1,32,207,347,939,2,0,1
82,63,85041,2,0,13,933,43,418,0,11,1
83,49,76766,0,0,47,305,370,857,13,2,0
84,62,53901,2,1,60,866,128,875,18,17,1
85,26,42812,1,1,64,587,184,354,7,18,0
86,56,36943,2,0,13,925,30,989,16,19,1
87,20,22926,1,0,58,619,499,815,7,7,1
88,42,26964,0,0,66,807,7,26,13,9,1
89,42,21577,1,0,36,267,51,826,6,1,1
90,65,37328,0,1,14,497,120,986,7,13,0
91,23,79542,2,1,73,82,139,863,7,10,0
92,48,83476,0,0,95,833,174,21,0,9,1
93,30,24933,1,0,88,50,48,141,11,19,1
94,21,44873,2,1,73,176,273,179,18,17,0
95,44,79428,2,1,18,175,16,40,6,16,1
96,54,28329,1,1,57,963,150,3,12,17,1
97,22,95173,1,1,10,455,170,428,5,7,1
98,33,23110,1,1,82,669,363,434,3,6,0
99,65,68153,2,1,1,713,75,401,4,14,1
100,31,26575,0,1,61,939,281,71,10,2,1
101,33,77950,1,1,1,90,361,861,6,16,1
102,43,83052,2,0,31,120,338,828,5,19,1
103,36,63311,0,1,95,186,255,943,17,7,1
104,61,83238,1,1,44,635,329,575,16,17,0
105,60,64611,1,0,8,138,295,820,7,6,1
106,56,33716,0,1,47,207,393,661,14,3,1
107,21,82582,0,1,42,893,208,395,12,19,0
108,19,70747,1,1,40,734,94,969,13,1,0
109,32,49439,1,0,45,960,322,943,13,9,1
110,58,75814,0,0,42,350,244,49,5,2,1
111,45,67837,2,1,49,555,287,493,4,19,0
112,36,92820,2,1,93,843,108,971,12,12,1
113,30,94764,1,0,1,911,475,623,7,7,0
114,25,74609,2,0,21,273,172,174,19,11,0
115,39,39088,1,1,60,929,452,343,8,7,1
116,52,73986,0,0,13,396,365,596,16,19,1
117,21,69952,2,1,15,346,149,308,11,12,0
118,57,58826,2,1,67,598,87,953,15,19,1
119,28,30307,2,0,97,354,31,460,8,14,0
120,67,85115,2,1,44,170,261,429,0,15,0
